,监测点,AQI,质量等级,PM2.5浓度(1小时),主要污染物
14,济南四建,153,中度污染,49,颗粒物（PM10）
0,火炬城,111,轻度污染,71,颗粒物（PM10）
1,监测站,0,优,--,颗粒物（PM10）
2,电化厂,108,轻度污染,40,颗粒物（PM10）
3,市第七中学(启用200103),138,轻度污染,105,颗粒物（PM10）
4,市第七中学,110,轻度污染,40,颗粒物（PM10）
0,滨江,19,优,9,颗粒物（PM10）
1,西溪,24,优,8,颗粒物（PM10）
2,千岛湖,0,优,4,颗粒物（PM10）
3,下沙,21,优,14,颗粒物（PM10）
4,卧龙桥,20,优,8,颗粒物（PM10）
5,浙江农大,0,优,10,颗粒物（PM10）
6,朝晖五区,24,优,12,颗粒物（PM10）
7,和睦小学,27,优,10,颗粒物（PM10）
8,临平镇,33,优,23,颗粒物（PM10）
9,城厢镇,21,优,11,颗粒物（PM10）
10,云栖,18,优,8,颗粒物（PM10）
0,汉川机床厂子校,70,良,31,颗粒物（PM10）
1,市监测站,83,良,31,颗粒物（PM10）
2,鑫源开发区,80,良,33,颗粒物（PM10）
3,南郑大河坎水厂,79,良,33,颗粒物（PM10）
0,明珠广场,60,良,22,颗粒物（PM10）
1,三里街,68,良,16,颗粒物（PM10）
2,琥珀山庄,64,良,21,颗粒物（PM10）
3,董铺水库,56,良,18,颗粒物（PM10）
4,长江中路,63,良,14,颗粒物（PM10）
5,庐阳区,71,良,22,颗粒物（PM10）
6,瑶海区,79,良,18,颗粒物（PM10）
7,包河区,0,优,30,颗粒物（PM10）
8,滨湖新区,48,优,17,颗粒物（PM10）
9,高新区,67,良,20,颗粒物（PM10）
0,哈啤分公司,18,优,12,颗粒物（PM10）
1,斯达机电,18,优,12,颗粒物（PM10）
2,东山纸板厂,16,优,11,颗粒物（PM10）
3,五号水库,15,优,10,颗粒物（PM10）
0,交通局,51,良,11,颗粒物（PM10）
1,党校,34,优,6,颗粒物（PM10）
2,地震局,0,优,7,颗粒物（PM10）
0,监测站,98,良,58,颗粒物（PM10）
1,烈山区政府,107,轻度污染,29,颗粒物（PM10）
2,职业技术学院,104,轻度污染,72,颗粒物（PM10）
0,大通区政府,0,优,--,颗粒物（PM10）
1,潘集区政府,107,轻度污染,46,颗粒物（PM10）
2,师范学院,110,轻度污染,36,颗粒物（PM10）
3,谢家集区政府,111,轻度污染,38,颗粒物（PM10）
4,八公山区政府,101,轻度污染,35,颗粒物（PM10）
5,焦岗湖风景区管理处,102,轻度污染,37,颗粒物（PM10）
6,益益乳业工业园,105,轻度污染,40,颗粒物（PM10）
7,大通区政府（已停运）,0,优,--,颗粒物（PM10）
0,黄山区政府5号楼,0,优,--,颗粒物（PM10）
1,延安路89号,30,优,7,颗粒物（PM10）
2,黄山东路89号,24,优,1,颗粒物（PM10）
0,区环保局,26,优,9,颗粒物（PM10）
1,市艺校,0,优,--,颗粒物（PM10）
2,国华电力东,28,优,10,颗粒物（PM10）
0,河大一附院,0,优,--,颗粒物（PM10）
1,肿瘤医院,73,良,22,颗粒物（PM10）
2,妇幼保健院,0,优,--,颗粒物（PM10）
